sc,g,h,production
sc1,ocgt,h01,0.0
sc2,ocgt,h01,0.0
sc3,ocgt,h01,0.0
sc1,ccgt,h01,757.5
sc2,ccgt,h01,5.000000000000114
sc3,ccgt,h01,0.0
sc1,wind,h01,192.5
sc2,wind,h01,944.9999999999999
sc3,wind,h01,950.0
sc1,solar,h01,0.0
sc2,solar,h01,0.0
sc3,solar,h01,0.0
sc1,ocgt,h02,0.0
sc2,ocgt,h02,0.0
sc3,ocgt,h02,0.0
sc1,ccgt,h02,677.5
sc2,ccgt,h02,0.0
sc3,ccgt,h02,0.0
sc1,wind,h02,192.5
sc2,wind,h02,870.0
sc3,wind,h02,870.0
sc1,solar,h02,0.0
sc2,solar,h02,0.0
sc3,solar,h02,0.0
sc1,ocgt,h03,0.0
sc2,ocgt,h03,0.0
sc3,ocgt,h03,0.0
sc1,ccgt,h03,621.5
sc2,ccgt,h03,0.0
sc3,ccgt,h03,0.0
sc1,wind,h03,192.5
sc2,wind,h03,814.0
sc3,wind,h03,814.0
sc1,solar,h03,0.0
sc2,solar,h03,0.0
sc3,solar,h03,0.0
sc1,ocgt,h04,0.0
sc2,ocgt,h04,0.0
sc3,ocgt,h04,0.0
sc1,ccgt,h04,586.5
sc2,ccgt,h04,0.0
sc3,ccgt,h04,0.0
sc1,wind,h04,192.5
sc2,wind,h04,779.0
sc3,wind,h04,779.0
sc1,solar,h04,0.0
sc2,solar,h04,0.0
sc3,solar,h04,0.0
sc1,ocgt,h05,0.0
sc2,ocgt,h05,0.0
sc3,ocgt,h05,0.0
sc1,ccgt,h05,583.0
sc2,ccgt,h05,0.0
sc3,ccgt,h05,0.0
sc1,wind,h05,175.0
sc2,wind,h05,758.0
sc3,wind,h05,758.0
sc1,solar,h05,0.0
sc2,solar,h05,0.0
sc3,solar,h05,0.0
sc1,ocgt,h06,0.0
sc2,ocgt,h06,0.0
sc3,ocgt,h06,0.0
sc1,ccgt,h06,567.0
sc2,ccgt,h06,0.0
sc3,ccgt,h06,0.0
sc1,wind,h06,175.0
sc2,wind,h06,751.0
sc3,wind,h06,751.0
sc1,solar,h06,8.999999999999996
sc2,solar,h06,0.0
sc3,solar,h06,0.0
sc1,ocgt,h07,0.0
sc2,ocgt,h07,0.0
sc3,ocgt,h07,0.0
sc1,ccgt,h07,550.0
sc2,ccgt,h07,0.0
sc3,ccgt,h07,0.0
sc1,wind,h07,175.0
sc2,wind,h07,774.5
sc3,wind,h07,779.0
sc1,solar,h07,53.99999999999997
sc2,solar,h07,4.499999999999998
sc3,solar,h07,0.0
sc1,ocgt,h08,0.0
sc2,ocgt,h08,0.0
sc3,ocgt,h08,0.0
sc1,ccgt,h08,541.5
sc2,ccgt,h08,0.0
sc3,ccgt,h08,0.0
sc1,wind,h08,157.5
sc2,wind,h08,802.5
sc3,wind,h08,829.5
sc1,solar,h08,134.99999999999994
sc2,solar,h08,31.49999999999999
sc3,solar,h08,4.499999999999998
sc1,ocgt,h09,0.0
sc2,ocgt,h09,0.0
sc3,ocgt,h09,0.0
sc1,ccgt,h09,519.5000000000001
sc2,ccgt,h09,7.000000000000226
sc3,ccgt,h09,0.0
sc1,wind,h09,157.5
sc2,wind,h09,805.0
sc3,wind,h09,848.0
sc1,solar,h09,224.9999999999999
sc2,solar,h09,89.99999999999996
sc3,solar,h09,53.99999999999997
sc1,ocgt,h10,0.0
sc2,ocgt,h10,0.0
sc3,ocgt,h10,0.0
sc1,ccgt,h10,501.5000000000001
sc2,ccgt,h10,6.500000000000114
sc3,ccgt,h10,0.0
sc1,wind,h10,157.5
sc2,wind,h10,787.5
sc3,wind,h10,830.0
sc1,solar,h10,296.9999999999999
sc2,solar,h10,161.99999999999991
sc3,solar,h10,125.99999999999996
sc1,ocgt,h11,0.0
sc2,ocgt,h11,0.0
sc3,ocgt,h11,0.0
sc1,ccgt,h11,501.5000000000001
sc2,ccgt,h11,0.0
sc3,ccgt,h11,0.0
sc1,wind,h11,157.5
sc2,wind,h11,785.0000000000001
sc3,wind,h11,821.0000000000001
sc1,solar,h11,350.9999999999999
sc2,solar,h11,224.9999999999999
sc3,solar,h11,188.99999999999991
sc1,ocgt,h12,0.0
sc2,ocgt,h12,0.0
sc3,ocgt,h12,0.0
sc1,ccgt,h12,492.0000000000002
sc2,ccgt,h12,0.0
sc3,ccgt,h12,0.0
sc1,wind,h12,157.5
sc2,wind,h12,766.5000000000002
sc3,wind,h12,793.5000000000001
sc1,solar,h12,373.4999999999998
sc2,solar,h12,256.49999999999983
sc3,solar,h12,229.4999999999999
sc1,ocgt,h13,0.0
sc2,ocgt,h13,0.0
sc3,ocgt,h13,0.0
sc1,ccgt,h13,469.5000000000002
sc2,ccgt,h13,2.923587298179302e-13
sc3,ccgt,h13,0.0
sc1,wind,h13,175.0
sc2,wind,h13,752.5
sc3,wind,h13,779.5000000000001
sc1,solar,h13,373.4999999999998
sc2,solar,h13,265.49999999999983
sc3,solar,h13,238.49999999999991
sc1,ocgt,h14,0.0
sc2,ocgt,h14,0.0
sc3,ocgt,h14,0.0
sc1,ccgt,h14,449.0000000000001
sc2,ccgt,h14,49.500000000000114
sc3,ccgt,h14,0.0
sc1,wind,h14,210.0
sc2,wind,h14,717.5
sc3,wind,h14,785.0000000000001
sc1,solar,h14,350.9999999999999
sc2,solar,h14,242.99999999999991
sc3,solar,h14,224.9999999999999
sc1,ocgt,h15,0.0
sc2,ocgt,h15,0.0
sc3,ocgt,h15,0.0
sc1,ccgt,h15,429.0000000000001
sc2,ccgt,h15,117.00000000000011
sc3,ccgt,h15,0.0
sc1,wind,h15,245.00000000000003
sc2,wind,h15,665.0
sc3,wind,h15,800.0000000000001
sc1,solar,h15,305.9999999999999
sc2,solar,h15,197.99999999999991
sc3,solar,h15,179.99999999999991
sc1,ocgt,h16,0.0
sc2,ocgt,h16,0.0
sc3,ocgt,h16,0.0
sc1,ccgt,h16,464.0000000000001
sc2,ccgt,h16,222.0
sc3,ccgt,h16,0.0
sc1,wind,h16,262.5
sc2,wind,h16,612.5
sc3,wind,h16,861.5
sc1,solar,h16,238.49999999999991
sc2,solar,h16,130.49999999999994
sc3,solar,h16,103.49999999999996
sc1,ocgt,h17,0.0
sc2,ocgt,h17,0.0
sc3,ocgt,h17,0.0
sc1,ccgt,h17,525.5000000000001
sc2,ccgt,h17,309.5
sc3,ccgt,h17,0.0
sc1,wind,h17,280.0
sc2,wind,h17,595.0
sc3,wind,h17,940.5
sc1,solar,h17,157.49999999999991
sc2,solar,h17,58.49999999999997
sc3,solar,h17,22.49999999999999
sc1,ocgt,h18,-0.0
sc2,ocgt,h18,0.0
sc3,ocgt,h18,0.0
sc1,ccgt,h18,640.5000000000001
sc2,ccgt,h18,371.0
sc3,ccgt,h18,0.0
sc1,wind,h18,280.0
sc2,wind,h18,612.5
sc3,wind,h18,997.0
sc1,solar,h18,76.49999999999997
sc2,solar,h18,13.499999999999993
sc3,solar,h18,0.0
sc1,ocgt,h19,0.0
sc2,ocgt,h19,0.0
sc3,ocgt,h19,0.0
sc1,ccgt,h19,794.9999999999999
sc2,ccgt,h19,463.0
sc3,ccgt,h19,0.0
sc1,wind,h19,280.0
sc2,wind,h19,630.0
sc3,wind,h19,1093.0
sc1,solar,h19,17.999999999999993
sc2,solar,h19,0.0
sc3,solar,h19,0.0
sc1,ocgt,h20,-0.0
sc2,ocgt,h20,0.0
sc3,ocgt,h20,0.0
sc1,ccgt,h20,800.0
sc2,ccgt,h20,449.0
sc3,ccgt,h20,0.0
sc1,wind,h20,262.5
sc2,wind,h20,665.0
sc3,wind,h20,1114.0
sc1,solar,h20,0.0
sc2,solar,h20,0.0
sc3,solar,h20,0.0
sc1,ocgt,h21,-0.0
sc2,ocgt,h21,0.0
sc3,ocgt,h21,0.0
sc1,ccgt,h21,800.0
sc2,ccgt,h21,397.5
sc3,ccgt,h21,0.0
sc1,wind,h21,245.00000000000003
sc2,wind,h21,717.5
sc3,wind,h21,1115.0
sc1,solar,h21,0.0
sc2,solar,h21,0.0
sc3,solar,h21,0.0
sc1,ocgt,h22,-0.0
sc2,ocgt,h22,0.0
sc3,ocgt,h22,0.0
sc1,ccgt,h22,800.0
sc2,ccgt,h22,354.5
sc3,ccgt,h22,0.0
sc1,wind,h22,227.5
sc2,wind,h22,752.5
sc3,wind,h22,1107.0
sc1,solar,h22,0.0
sc2,solar,h22,0.0
sc3,solar,h22,0.0
sc1,ocgt,h23,-0.0
sc2,ocgt,h23,0.0
sc3,ocgt,h23,0.0
sc1,ccgt,h23,800.0
sc2,ccgt,h23,248.0
sc3,ccgt,h23,0.0
sc1,wind,h23,210.0
sc2,wind,h23,805.0
sc3,wind,h23,1053.0
sc1,solar,h23,0.0
sc2,solar,h23,0.0
sc3,solar,h23,0.0
sc1,ocgt,h24,-0.0
sc2,ocgt,h24,0.0
sc3,ocgt,h24,0.0
sc1,ccgt,h24,800.0
sc2,ccgt,h24,195.0
sc3,ccgt,h24,0.0
sc1,wind,h24,210.0
sc2,wind,h24,840.0
sc3,wind,h24,1035.0
sc1,solar,h24,0.0
sc2,solar,h24,0.0
sc3,solar,h24,0.0
